
***SUMMARY***SUMMARY***SUMMARY***SUMMARY***SUMMARY***

Simulation:         Evacuation
Version:            2022.3.1207
Mode:               Steering
Total Occupants:    290


Completion Times for All Occupants (s):
  Min:                2.2 "00076"
  Max:              137.1 "00269"
  Average:           71.7
  StdDev:            36.5

Completion Times by Behavior (s):
       Behavior	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
  Goto Any Exit	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5
*all behaviors*	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5

Completion Times by Profile (s):
       Profile	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
       Default	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5
*all profiles*	  290	2.2	 "00076"	137.1	 "00269"	71.7	  36.5

Travel Distances for All Occupants (m):
  Min:                1.9 "00076"
  Max:              119.9 "00269"
  Average:           64.5
  StdDev:            28.9

Movement Distance by Behavior (m):
       Behavior	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
  Goto Any Exit	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9
*all behaviors*	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9

Movement Distance by Profile (m):
       Profile	Count	Min	Min_Name	  Max	Max_Name	 Avg	StdDev
       Default	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9
*all profiles*	  290	1.9	 "00076"	119.9	 "00269"	64.5	  28.9

[Components] All:   723
[Components] Doors: 257
Triangles:          17137
Startup Time:       0.1s
CPU Time:           8.5s

Door Flow Rates:
                 Door	First_In	Last_Out	Last_Out_Name	Total_Use	 Flow_Avg
  Piętro 2->Door133_1	     1.3	     1.3	        00220	        1	         
  Piętro 2->Door134_1	     1.0	     1.0	        00202	        1	         
  Piętro 2->Door136_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door137_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door138_1	     5.4	     5.4	        00216	        1	         
  Piętro 2->Door139_1	     3.5	     3.5	        00216	        1	         
  Piętro 2->Door140_1	     1.3	     1.3	        00215	        1	         
  Piętro 2->Door141_1	    11.0	    16.8	        00183	        2	     0.34
  Piętro 2->Door142_1	     6.7	    20.7	        00191	        7	     0.50
 Piętro 2->Door91_1_1	     0.0	     0.0	             	        0	         
 Piętro 2->Door97_1_1	     4.3	     4.3	        00210	        1	         
  Piętro 2->Door143_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door144_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door145_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door146_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door147_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door148_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door149_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door150_1	     1.7	     3.2	        00190	        2	     1.33
  Piętro 2->Door151_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door152_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door153_1	     4.0	     4.0	        00194	        1	         
  Piętro 2->Door154_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door155_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door156_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door157_1	     2.5	    12.3	        00191	        2	     0.20
  Piętro 2->Door158_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door159_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door160_1	     1.0	     1.0	        00183	        1	         
  Piętro 2->Door162_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door163_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door164_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door165_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door166_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door167_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door168_1	     2.9	    10.1	        00175	        3	     0.42
  Piętro 2->Door169_1	     1.1	     8.2	        00175	        3	     0.42
  Piętro 2->Door170_1	     0.0	     0.0	             	        0	         
  Piętro 2->Door171_1	     4.2	     5.5	        00175	        2	     1.63
  Piętro 2->Door172_1	     3.5	     4.8	        00223	        2	     1.60
  Piętro 2->Door173_1	     0.0	     0.0	             	        0	         
       Stair10 door 1	    12.1	    53.9	        00241	       35	     0.84
       Stair10 door 2	    15.2	    58.2	        00241	       35	     0.81
     Stair14_1 door 1	     6.3	    68.3	        00226	       58	     0.93
     Stair14_1 door 2	     3.2	    63.3	        00226	       58	     0.96
       Stair16 door 1	    12.0	    56.2	        00226	       35	     0.79
       Stair16 door 2	     8.9	    52.5	        00226	       35	     0.80
     Stair09_2 door 1	     8.6	    47.4	        00241	       35	     0.90
     Stair09_2 door 2	     5.4	    42.3	        00256	       35	     0.95
   Stair08_1_1 door 1	    11.2	    52.3	        00241	       35	     0.85
   Stair08_1_1 door 2	     9.7	    50.5	        00241	       35	     0.86
     Stair13_2 door 1	     8.0	    49.9	        00226	       35	     0.84
     Stair13_2 door 2	     6.6	    47.8	        00226	       35	     0.85
     Stair14_2 door 1	     5.6	    45.9	        00226	       35	     0.87
     Stair14_2 door 2	     2.5	    42.2	        00226	       35	     0.88
Piętro 3->Door108_1_2	     1.6	    37.9	        00230	       34	     0.94
  Piętro 3->Door109_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door110_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door113_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door114_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door116_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door117_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door118_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door119_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door121_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door123_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door124_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door125_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door127_2	     2.9	    37.7	        00241	       35	     1.00
  Piętro 3->Door128_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door129_2	     4.4	    14.0	        00277	        9	     0.94
  Piętro 3->Door130_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door131_2	     1.4	    22.2	        00241	       10	     0.48
  Piętro 3->Door133_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door134_2	     2.5	     2.5	        00278	        1	         
  Piętro 3->Door136_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door137_2	     0.0	     0.0	             	        0	         
  Piętro 3->Door138_2	     3.3	     3.3	        00292	        1	         
  Piętro 3->Door139_2	     1.4	     1.4	        00292	        1	         
  Piętro 3->Door140_2	     1.3	     1.3	        00231	        1	         
  Piętro 3->Door141_2	     8.8	    21.5	        00230	        6	     0.47
  Piętro 3->Door142_2	     7.1	    18.7	        00269	        9	     0.78
 Piętro 3->Door91_1_2	     0.0	     0.0	             	        0	         
 Piętro 3->Door97_1_2	     3.2	     6.0	        00225	        3	     1.07
  Piętro 3->Door143_2	     3.6	     6.0	        00230	        2	     0.81
